Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;Total Nacional;12 años;2040;""
Total;Total Nacional;12 años;2039;400.803,779345
Total;Total Nacional;12 años;2038;397.579,765404
Total;Total Nacional;12 años;2037;394.911,827151
Total;Total Nacional;12 años;2036;395.222,912553
Total;Total Nacional;12 años;2035;398.841,984318
Total;Total Nacional;12 años;2034;412.156,313667
Total;Total Nacional;12 años;2033;414.559,114382
Total;Total Nacional;12 años;2032;430.573,044717
Total;Total Nacional;12 años;2031;444.577,557245
Total;Total Nacional;12 años;2030;465.236,396667
Total;Total Nacional;12 años;2029;481.862,460023
Total;Total Nacional;12 años;2028;488.126,031378
Total;Total Nacional;12 años;2027;490.294,208666
Total;Total Nacional;12 años;2026;479.151,644861
Total;Total Nacional;12 años;2025;497.431,88
Total;Total Nacional;12 años;2024;501.419
Total;Total Nacional;13 años;2041;""
Total;Total Nacional;13 años;2040;""
Total;Total Nacional;13 años;2039;401.705,880098
Total;Total Nacional;13 años;2038;398.988,585783
Total;Total Nacional;13 años;2037;399.299,047051
Total;Total Nacional;13 años;2036;402.988,812683
Total;Total Nacional;13 años;2035;416.219,730045
Total;Total Nacional;13 años;2034;418.788,873582
Total;Total Nacional;13 años;2033;435.002,648199
Total;Total Nacional;13 años;2032;449.257,22029
Total;Total Nacional;13 años;2031;470.236,496995
Total;Total Nacional;13 años;2030;487.304,998674
Total;Total Nacional;13 años;2029;494.173,10968
Total;Total Nacional;13 años;2028;497.040,496788
Total;Total Nacional;13 años;2027;486.702,177335
Total;Total Nacional;13 años;2026;505.480,496292
Total;Total Nacional;13 años;2025;509.722,248913
Total;Total Nacional;13 años;2024;512.627
Total;Total Nacional;14 años;2041;""
Total;Total Nacional;14 años;2040;""
Total;Total Nacional;14 años;2039;403.324,507866
Total;Total Nacional;14 años;2038;403.607,198086
Total;Total Nacional;14 años;2037;407.328,107691
Total;Total Nacional;14 años;2036;420.437,198846
Total;Total Nacional;14 años;2035;423.111,845203
Total;Total Nacional;14 años;2034;439.457,273645
Total;Total Nacional;14 años;2033;453.889,448133
Total;Total Nacional;14 años;2032;475.117,286662
Total;Total Nacional;14 años;2031;492.561,629535
Total;Total Nacional;14 años;2030;499.982,856857
Total;Total Nacional;14 años;2029;503.537,915851
Total;Total Nacional;14 años;2028;494.057,623787
Total;Total Nacional;14 años;2027;513.518,559592
Total;Total Nacional;14 años;2026;518.369,485365
Total;Total Nacional;14 años;2025;521.493,697702
Total;Total Nacional;14 años;2024;520.774
Total;Total Nacional;15 años;2041;""
Total;Total Nacional;15 años;2040;""
Total;Total Nacional;15 años;2039;408.360,684866
Total;Total Nacional;15 años;2038;412.083,404909
Total;Total Nacional;15 años;2037;425.040,263606
Total;Total Nacional;15 años;2036;427.772,13444
Total;Total Nacional;15 años;2035;444.193,919877
Total;Total Nacional;15 años;2034;458.742,36351
Total;Total Nacional;15 años;2033;480.155,148649
Total;Total Nacional;15 años;2032;497.911,443357
Total;Total Nacional;15 años;2031;505.826,952532
Total;Total Nacional;15 años;2030;510.033,105654
Total;Total Nacional;15 años;2029;501.412,900573
Total;Total Nacional;15 años;2028;521.650,335044
